Nama_Komposisi,Deskripsi_Komposisi
Air,"Air merupakan komponen kimiawi yang terbesar pada bahan pangan dan merupakan cairan yang esensial bagi hidup. Air penting sebagai alat transportasi (zat gizi dan limbah metabolisme), reaktan maupun sebagai media reaksi, stabilisasi (biopolimer, suhu), dan sebagai fasilitator terhadap sifat dinamis makromolekul (misalnya enzim).
Kandungan air sangat berpengaruh terhadap konsistensi bahan pangan, dimana sebagian besar bahan pangan segar mempunyai kadar air 70% atau lebih. Sebagai contoh, sayur-mayuran dan buah-buahan segar mempunyai kadar air 90-95%, susu 85-90%, ikan 70-80%, telur 70-75% dan daging 60-70%."
Protein,"Protein merupakan nutrisi penting yang berperan dalam proses pembentukan dan perbaikan sel serta jaringan tubuh.  Jaringan tulang, otot, dan kulit, serta berbagai organ tubuh sebagian besar terbuat dari asam amino, yaitu zat hasil metabolisme protein. Selain menyusun jaringan dan sel tubuh, protein juga berperan dalam produksi enzim dan berbagai hormon dalam tubuh, misalnya hormon pertumbuhan. Oleh karena itu, tubuh membutuhkan asupan protein dalam jumlah besar. Namun, Anda juga tidak disarankan untuk mengonsumsi protein secara berlebihan karena bisa berdampak buruk bagi kesehatan. Asupan protein yang terlalu tinggi diduga dapat memengaruhi proses metabolisme dan memperberat kerja ginjal. 
Berikut ini adalah rekomendasi asupan protein harian menurut Kementerian Kesehatan Republik Indonesia tahun 2019:
Anak-anak usia 1–6 tahun: 20–25 gram
Anak-anak usia 7–9 tahun: 35–40 gram
Remaja: 60–75 gram
Orang dewasa: 50–70 gram
Wanita hamil dan menyusui: 70–85 gram"
Lemak,"Lemak adalah salah satu nutrisi yang penting bagi tubuh. Tubuh memerlukan sejumlah lemak dari makanan sebagai sumber energi dan membantu proses penyerapan nutrisi lain, seperti vitamin yang larut dalam lemak. Tidak semua jenis lemak baik untuk kesehatan tubuh. Sebagian jenis lemak ada yang baik untuk kesehatan, tetapi ada juga jenis lemak yang bisa memberi dampak buruk pada kesehatan bila dikonsumsi secara berlebihan. Berikut ini adalah beberapa jenisnya:
1. Lemak tak jenuh tunggal termasuk dalam jenis lemak yang sehat. Jika dikonsumsi dengan jumlah yang sesuai, lemak ini bisa menurunkan kadar kolesterol jahat (LDL) dan menjaga kadar kolesterol baik dalam tubuh (HDL) sehingga kesehatan jantung dan pembuluh darah pun tetap terjaga. Lemak ini bisa ditemukan di dalam buah alpukat, minyak zaitun, biji-bijian, serta kacang-kacangan, seperti kacang tanah, kedelai, almond, dan kacang pecan.
2. Lemak tak jenuh ganda juga termasuk dalam jenis lemak sehat. Asupannya yang memadai dapat menurunkan kadar kolesterol jahat dalam tubuh. Beberapa contoh lemak yang termasuk dalam jenis lemak tak jenuh ganda meliputi asam lemak omega-3 dan omega-6. Lemak ini bisa diperoleh dari beragam jenis makanan, seperti kacang walnut, minyak sehat, serta ikan, termasuk ikan salmon, ikan tuna, dan ikan tongkol.
3. Lemak trans termasuk dalam jenis lemak tidak sehat, sebab bisa meningkatkan kadar LDL dalam tubuh. Apabila dikonsumsi berlebihan, lemak trans bisa meningkatkan risiko terkena berbagai penyakit, seperti stroke, diabetes tipe 2, dan penyakit jantung. Lemak tak sehat ini banyak ditemukan di dalam produk makanan olahan, seperti kentang goreng, biskuit, donat, pizza, dan sosis.

Lemak jenuh
Lemak jenuh yang dikonsumsi dalam jumlah yang sesuai dan tidak berlebihan umumnya tidak berbahaya bagi kesehatan. Namun, jika asupannya terlalu banyak, lemak ini juga bisa mengganggu kesehatan karena dapat meningkatkan kadar kolesterol jahat dalam tubuh.
Lemak jenuh terdapat pada mentega, telur, daging merah, susu, keju, jeroan, daging berlemak, dan kulit ayam.

Lemak merupakan salah satu jenis nutrisi yang penting bagi kesehatan tubuh. Namun, agar lebih aman dan sehat, konsumsi lemak secukupnya dan imbangi dengan pola makan bergizi seimbang.

Untuk mencukupi asupan lemak, Anda juga sebaiknya memilih jenis makanan yang kaya akan lemak sehat serta membatasi makanan yang mengandung lemak jenuh dan lemak trans. Batas maksimal asupan lemak jenuh bagi pria adalah 30 gram per hari, dan bagi wanita adalah 20 gram per hari. Sedangkan untuk lemak trans, batas maksimalnya adalah 5 gram per hari. Pada anak-anak, dianjurkan untuk tidak mengonsumsinya secara berlebihan."
Kh(Karbohidrat),"Karbohidrat penting bagi tubuh sebagai sumber utama dalam mendapatkan energi. Setelah karbohidrat masuk ke tubuh dan diubah menjadi glukosa, zat ini akan diserap sel-sel tubuh dengan bantuan hormon insulin. Ketika karbohidrat yang masuk ke tubuh dinilai terlalu banyak, maka hormon insulin berisiko tidak mampu lagi membantu glukosa terserap sel-sel tubuh. Sebagai akibatnya, kadar glukosa atau gula di dalam darah meningkat, menjadikan Anda berisiko mengalami diabetes. Karena terbiasa mengonsumsi nasi yang tinggi karbohidrat, kita cenderung masih merasa lapar jika hanya mengonsumsi nasi dalam jumlah sedikit. Di lain sisi untuk menghindari penyakit obesitas dan diabetes, asupan karbohidrat harus dibatasi. 
Berikut rincian karbohidrat yang dibutuhkan laki-laki dan perempuan berdasarkan usia: 
1. Perempuan 
Anak-anak: 155-254 gram (gr)/ hari 
Usia 10-12 tahun: 275 gr/ hari 
Usia 13-18 tahun: 292 gr/ hari 
Usia 19-29 tahun: 309 gr/ hari 
Usia 30-49 tahun: 323 gr/ hari 
Usia 50-64 tahun: 285 gr/ hari 
Usia 65-80 tahun: 252 gr/ hari 
Usia di atas 80 tahun: 232 gr/ hari 
2. Laki-laki 
Anak-anak: 155-254 gr/ hari 
Usia 10-12 tahun: 289 gr/ hari 
Usia 13-15 tahun: 340 gr/hari 
Usia 16-18 tahun: 368 gr/ hari 
Usia 19-29 tahun: 375 gr/ hari 
Usia 30-49 tahun: 394 gr/ hari 
Usia 50-64 tahun: 349 gr/ hari 
Usia 65-80 tahun: 309 gr/ hari 
Usia di atas 80 tahun: 248 gr/ hari "
Serat,"Serat adalah karbohidrat kompleks yang tidak dapat dicerna oleh tubuh. Tidak seperti protein, lemak, atau karbohidrat biasa yang dapat dipecah oleh organ tubuh, serat tidak mengalami pemecahan tersebut. Serat hanya akan melalui organ pencernaan setelah Anda makan, lalu dikeluarkan kembali melalui anus. Manfaat serat untuk tubuh adalah untuk melancarkan pencernaan, menurunkan kolesterol, mengendalikan gula darah, dan membantu menurunkan gula darah.Terdapat perbedaan kebutuhan serat antar wanita dan pria. Pada pria, setidaknya kebutuhan serat yang harus dipenuhi berkisar antara 30-38 gram sehari. Sedangkan wanita yang usianya berkisar antara 18 – 50 tahun, kebutuhan serat per hari yaitu sekitar 25 gram. Untuk anak berusia 5 tahun sekitar 10–15 g serat per hari. Jika usianya 10 tahun, ia butuh 15–20 g serat per hari."
Kalsium,"Kalsium adalah mineral penting yang bermanfaat untuk pertumbuhan dan pemeliharaan tulang serta gigi. Selain itu, kalsium juga diperlukan untuk mendukung kerja sistem saraf, pembekuan darah, dan kontraksi otot. Kekurangan mineral ini bisa menyebabkan pertumbuhan anak terhambat dan memicu beragam penyakit, seperti rakitis, osteomalacia, serta osteoporosis. Berikut ini adalah AKG kalsium berdasarkan usia:
0-6 bulan: 200 mg per hari
7-12 bulan: 260 mg per hari
1-3 tahun: 700 mg per hari
4-8 tahun: 1.000 mg per hari
9-18 tahun: 1.300 mg per hari
19-50 tahun: 1.000 mg per hari, termasuk pada wanita hamil dan menyusui
50 tahun ke atas: 1.000 mg per hari"
Fosfor,"Fosfor adalah salah satu mineral yang jumlahnya paling banyak di dalam tubuh. Di dalam tubuh, fosfor memiliki berbagai peran penting, seperti membentuk serta menguatkan jaringan tulang dan gigi, memberikan energi bagi tubuh, menghasilkan protein, serta memelihara otot, saraf, jantung, dan ginjal. Rekomendasi asupan fosfor harian berbeda-beda pada tiap orang, tergantung usianya. Jumlah asupan fosfor yang direkomendasikan adalah sebagai berikut:
Untuk orang dewasa dan ibu hamil atau menyusui adalah 700 mg per hari
Untuk bayi berkisar antara 100–250 mg per hari
Anak usia 1–9 tahun membutuhkan 500 mg per hari
Anak dan remaja usia 10–18 tahun membutuhkan sekitar 1.200 mg per hari
Meski memiliki fungsi yang cukup penting bagi tubuh, penumpukan fosfor justru bisa berdampak buruk bagi tubuh. Kondisi kelebihan fosfor dalam tubuh ini secara medis disebut hiperfosfatemia."
Besi,"Zat besi adalah mineral penting yang diperlukan tubuh untuk menghasilkan salah satu komponen sel darah merah, yaitu hemoglobin. Hemoglobin sendiri adalah protein yang berfungsi mengangkut oksigen untuk disebarkan ke seluruh jaringan tubuh. Saat mengalami kekurangan zat besi, maka pembentukan hemoglobin akan terhambat dan seseorang bisa mengalami anemia defisiensi besi. Beberapa keluhan dan gejala yang bisa timbul saat seseorang mengalami anemia defisiensi besi adalah lemah, letih, lesu, sesak napas, pusing, sakit kepala, dan denyut jantung meningkat. Berikut ini adalah angka kecukupan gizi (AKG) zat besi per hari berdasarkan usia dan jenis kelamin:

Anak usia 7–12 bulan: 11 mg per hari
Anak usia 1–3 tahun: 7 mg per hari
Anak usia 4–8 tahun: 10 mg per hari
Anak usia 9–13 tahun: 8 mg per hari
Anak laki-laki usia 14–18 tahun: 11 mg per hari
Anak perempuan usia 14–18 tahun: 15 mg per hari
Laki-laki usia 19 tahun ke atas: 8 mg per hari
Perempuan usia 19–50 tahun: 18 mg per hari
Perempuan usia 51 tahun ke atas: 8 mg per hari
Ibu hamil: 27 mg per hari
Ibu menyusui: 9 mg per hari"
Natrium,"Natrium adalah jenis mineral elektrolit yang membantu  menjaga keseimbangan cairan dalam tubuh. Hal ini amat diperlukan agar Anda tidak mengalami kondisi dehidrasi. Tubuh juga membutuhkan natrium untuk membantu impuls saraf atau sinyal listrik pada sel saraf yang bertugas sebagai alat komunikasi saraf dengan organ-organ tubuh lainnya.

Sedikit kerusakan pada impuls saraf bisa mempengaruhi kondisi tubuh Anda. Pada otak misalnya, impuls yang terganggu dapat menimbulkan demensia bagi yang mengalaminya.

Selain itu, natrium memiliki fungsi penting dalam kemampuan tubuh untuk mengencangkan dan mengendurkan otot serta menjaga cairan pada darah yang akan mencegah Anda dari anemia. Setiap orang memiliki kebutuhan natrium yang berbeda-beda. Dikutip dari Peraturan Menteri Kesehatan tahun 2019, di bawah ini merupakan angka kecukupan natrium harian berdasarkan usia dan jenis kelamin. Bayi 0 – 5 bulan: 120 miligram
Bayi 6 – 11 bulan: 370 miligram
Balita, 1 – 3 tahun: 800 miligram
Anak-anak 4 – 6 tahun: 900 miligram
Anak-anak 7 – 9 tahun: 1.000 miligram
Anak laki-laki 10 – 12 tahun: 1.300 miligram
Remaja laki-laki 13 – 15 tahun: 1.500 miligram
Remaja laki-laki 16 – 18 tahun: 1.700 miligram
Anak perempuan 10 – 12 tahun: 1.400 miligram
Remaja perempuan 13 – 15 tahun: 1.500 miligram
Remaja perempuan 16 – 18 tahun: 1.600 miligram
Dewasa 19 – 49 tahun: 1.500 miligram
Laki-laki 50 tahun ke atas: 1.300 miligram
Perempuan 50 tahun ke atas: 1.400 miligram"
Kalium,"Kalium atau potasium adalah suplemen mineral untuk mengatasi hipokalemia atau defisiensi (kekurangan) kalium. Kalium berperan penting dalam menjaga kesehatan jantung, ginjal, saraf, mengatur keseimbangan cairan tubuh, dan kontraksi otot. Kebutuhan kalium harian bisa dipenuhi dari makanan, suplemen, atau gabungan dari keduanya. Berikut ini adalah angka kecukupan gizi (AKG) kalium per hari berdasarkan usia dan jenis kelamin:

Usia 0–6 bulan: 400 mg
Usia 7–12 bulan: 860 mg
Usia 1–3 tahun: 2.000 mg
Usia 4–8 tahun: 2.300 mg
Pria usia 9–13 tahun: 2.500 mg
Pria usia 14–18 tahun: 3.000 mg
Pria usia 19–50 tahun: 3.400 mg
Pria usia ?50 tahun: 3.400 mg
Wanita usia 9–18 tahun: 2.300 mg
Wanita usia 19–50 tahun: 2.600 mg
Wanita usia ?50 tahun: 2.600 mg
Ibu hamil dan ibu menyusui membutuhkan lebih banyak asupan kalium, yaitu 2.600–2.900 mg per hari untuk ibu hamil dan 2.600–2.800 mg per hari untuk ibu menyusui.

"
Tembaga,"Cuprum atau tembaga adalah mineral yang memiliki banyak manfaat bagi tubuh. Tembaga mendukung kinerja pembuluh darah, sistem saraf, dan sistem imun, berperan dalam pertumbuhan tulang, serta membantu pembentukan sel darah. Berikut adalah angka kecukupan gizi (AKG) tembaga per hari berdasarkan usia:

Pria dewasa dan remaja: 0,9 mg/hari.
Wanita dewasa dan remaja: 0,9 mg/hari.
Anak-anak usia 7–10 tahun: 0,4–0,7 mg/hari.
Anak-anak usia 4–6 tahun: 0,4 mg/hari.
Anak-anak usia 0–3 tahun: 0,2–3 mg/hari.
Ibu hamil dan menyusui: 1,3 mg per hari"
Thiamin,"Thiamine adalah vitamin B1. Thiamine ditemukan pada makanan seperti serealia, gandum utuh, daging, kacang-kacangan, biji-bijian, dan polong-polongan. Thiamin berperan penting dalam pencernaan karbohidrat dari makanan ke produk yang diperlukan oleh tubuh.

Thiamine digunakan untuk mengobati atau mencegah defisiensi vitamin B1. Injeksi thiamin biasanya digunakan untuk mengobati beri-beri, kondisi serius akibat kekurangan vitamin B1 berkepanjangan. Kadar vitamin B1 yang disarankan berbeda antara laki-laki dan perempuan. Laki-laki disarankan untuk mengonsumsi vitamin B1 sebanyak 1,2 mg/hari dan wanita sebanyak 1,1 mg/hari."
Riboflavin,"Riboflavin atau vitamin B2 adalah suplemen untuk mencegah dan mengatasi kekurangan (defisiensi) riboflavin. Di dalam tubuh, vitamin ini berperan penting dalam menjaga kesehatan kulit, saluran pencernaan, otak, dan sistem saraf. Riboflavin juga membantu pembentukan sel darah. AKG harian untuk riboflavin:
Usia 0–6 bulan: 0,3 mg
Usia 7–12 bulan: 0,4 mg
Usia 1–3 tahun: 0,5 mg
Usia 4–8 tahun: 0,6 mg
Usia 9–13 tahun: 0,9 mg
Laki-laki usia ?13 tahun: 1,3 mg
Perempuan usia ?13 tahun: 1 mg
Perempuan usia ?19 tahun: 1,1 mg
Ibu hamil: 1,4 mg
Ibu menyusui: 1,6 mg
Cara Mengonsumsi Riboflavin Dengan Benar
Suplemen vitamin dan mineral dikonsumsi untuk melengkapi asupan vitamin dan mineral, terutama ketika asupan nutrisi dari makanan tidak cukup. Perlu diingat, suplemen hanya sebagai pelengkap, bukan sebagai pengganti nutrisi dari makanan."
VIT-C,"Vitamin C atau asam askorbat (ascorbic acid) adalah vitamin yang diperlukan untuk mencegah dan mengatasi kekurangan vitamin C. Kekurangan vitamin C bisa menyebabkan terjadinya penyakit skorbut atau scurvy. Selain itu, vitamin C juga memiliki efek antioksidan yang dapat membantu tubuh melawan radikal bebas.

Vitamin C berperan penting dalam berbagai proses yang terjadi di dalam tubuh, termasuk menjaga dan mengoptimalkan kerja sistem kekebalan tubuh, pembentukan kolagen, protein, neurotransmiter, dan meningkatkan penyerapan zat besi. Berikut ini adalah AKG harian vitamin C:

Bayi usia 0–5 bulan: 40 mg
Bayi usia 6–11 bulan: 50 mg
Anak usia 1–3 tahun: 15 mg
Anak usia 4–6 tahun: 25 mg
Anak usia 7–9 tahun: 45 mg
Anak laki-laki usia 10–12 tahun: 50 mg
Anak laki-laki usia 13–15 tahun: 75 mg
Laki-laki usia 16–80 tahun: 90 mg
Anak perempuan usia 10–12 tahun: 50 mg
Anak perempuan usia 13–15 tahun: 65 mg
Perempuan usia 16–80 tahun: 75 mg
Ibu hamil: 85 mg
Ibu menyusui: 120 mg"
